field_id,top_left_x,top_left_y,down_right_x,down_right_y
756,82.3153780634789,27.33087764145627,82.3153780634789,27.331060048778312
757,82.31558232005376,27.329235975557893,82.31517380690404,27.329874401185037
1372,82.31970006953001,27.31379100688344,82.31970006953001,27.314064615999914
1374,82.31970006953001,27.31287897649521,82.31939375127385,27.313517397766972
1986,81.56661380580643,27.194631824553866,81.56661380580643,27.194813183375942
1988,81.5522124630102,27.19363435103246,81.55211104510319,27.193815709854533
2689,81.56322545890725,27.30865870499787,81.56312395535961,27.308840064586832
2690,81.56261643762144,27.30820530602547,81.5625149340738,27.308568025203392
2691,81.56332696245488,27.303036557740125,81.56292094826435,27.303671316301482
2878,81.56454500502649,27.307842586847553,81.56434199793122,27.30838666561443
2880,81.55845479216843,27.303580636507004,81.55845479216843,27.303852675890443
3293,81.56890965757476,27.307117148491713,81.56880815402714,27.307389187875152
7238,87.73789950844225,25.362487952624214,87.73789950844225,25.362669530070352
7239,87.73290367063494,25.363395839854892,87.73290367063494,25.363668206024094
7240,87.71255621998634,25.38596771599023,87.71255621998634,25.386149293880305
7241,87.7296064176821,25.365030036870106,87.72950650092595,25.36521161431624
4181,83.68820976616045,19.116114200510328,83.6881133326845,19.116114200510328
4185,83.68849906658835,19.115747544126922,83.68849906658835,19.116022536414476
4186,83.68840263311239,19.115014231360114,83.68820976616045,19.115747544126922
4255,83.69071703653556,19.126930563820782,83.69052416958363,19.12738888430004
4256,83.71589803200114,19.10393112826741,83.71589803200114,19.104022803069917
4257,83.7156086984144,19.10393112826741,83.7156086984144,19.10393112826741
4258,83.6909099034875,19.127205556108336,83.69071703653556,19.127663876587594
5014,83.69544227685788,19.121064061686297,83.69544227685788,19.121339053973852
5015,83.69505654295402,19.120514077111192,83.69467080905015,19.120789069398747
5016,83.69524940990594,19.120789069398747,83.69524940990594,19.120972397590446
5017,83.69515297642998,19.121064061686297,83.69515297642998,19.121522382165555
3281,81.51942944128643,27.44216462792493,81.5192262168298,27.442527275740442
1919,81.36286133912982,27.840499365726103,81.36275950365987,27.840770960661526
1920,81.36255583271996,27.840680429016388,81.36245399725001,27.840680429016388
1921,81.36214849084016,27.840227770790683,81.36214849084016,27.840318302435822
1950,81.36286133912982,27.840227770790683,81.36286133912982,27.840408834080964
2317,81.35766773016226,27.828820783502955,81.35726038828246,27.82927344172866
2318,81.35980627503126,27.827824935406408,81.35980627503126,27.82800599869669
2319,81.3573622237524,27.828639720212674,81.3569548818726,27.82909237843838
2324,81.36174114896035,27.827553340470985,81.36153747802044,27.828096530341828
2563,81.33869623273678,27.861889237578662,81.33859437540134,27.862432427137257
3085,81.36245399725001,27.839322454339275,81.36235216178007,27.839503517629556
3086,81.36265766818991,27.840408834080964,81.36255583271996,27.840589897371245
3367,81.35939893315145,27.823207821504234,81.35929709768149,27.823388884794515
3369,81.35919526221154,27.823388884794515,81.35919526221154,27.823751011375077
3370,81.3590934267416,27.82302675821395,81.35899159127165,27.823298353149372
3371,81.35878792033174,27.82293622656881,81.35878792033174,27.82311728985909
3372,81.35868608486179,27.823207821504234,81.35858424939184,27.823479416439653
4411,83.33864075391112,19.454052105438688,83.3384477992018,19.454235145065564
4412,83.33815836713782,19.451947149729644,83.33806188978316,19.453228427117757
4517,83.32137130742684,19.441513890997854,83.32127483007217,19.442154529691912
4518,83.3175122132404,19.44334428726659,83.31654743969379,19.443710366520335
4675,83.31731925853109,19.448926995886232,83.31722278117643,19.449384594953415
4676,83.32098539800819,19.449750674207163,83.32088892065353,19.450391312901218
